2001:278:103a::,2001:278:10db:ffff:ffff:ffff:ffff:ffff,AU
2001:278:10dc::,2001:278:10dc:ffff:ffff:ffff:ffff:ffff,JP
2001:278:10dd::,2001:278:10de:ffff:ffff:ffff:ffff:ffff,AU
2001:278:10df::,2001:278:10df:ffff:ffff:ffff:ffff:ffff,JP
2001:278:10e0::,2001:278:10e5:ffff:ffff:ffff:ffff:ffff,AU
2001:278:10e6::,2001:278:10e7:ffff:ffff:ffff:ffff:ffff,JP
2001:278:10e8::,2001:287:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:288::,2001:288:ffff:ffff:ffff:ffff:ffff:ffff,TW
2001:289::,2001:298:2027:ffff:ffff:ffff:ffff:ffff,AU
2001:298:2028::,2001:298:2029:ffff:ffff:ffff:ffff:ffff,JP
2001:298:202a::,2001:298:2161:ffff:ffff:ffff:ffff:ffff,AU
2001:298:2162::,2001:298:2162:ffff:ffff:ffff:ffff:ffff,JP
2001:298:2163::,2001:298:21b6:ffff:ffff:ffff:ffff:ffff,AU
2001:298:21b7::,2001:298:21b7:ffff:ffff:ffff:ffff:ffff,JP
2001:298:21b8::,2001:298:3007:ffff:ffff:ffff:ffff:ffff,AU
2001:298:3008::,2001:298:3008:ffff:ffff:ffff:ffff:ffff,JP
2001:298:3009::,2001:298:3011:ffff:ffff:ffff:ffff:ffff,AU
2001:298:3012::,2001:298:3012:ffff:ffff:ffff:ffff:ffff,JP
2001:298:3013::,2001:298:3014:ffff:ffff:ffff:ffff:ffff,AU
2001:298:3015::,2001:298:3015:ffff:ffff:ffff:ffff:ffff,JP
2001:298:3016::,2001:298:3031:ffff:ffff:ffff:ffff:ffff,AU
2001:298:3032::,2001:298:3032:ffff:ffff:ffff:ffff:ffff,JP
2001:298:3033::,2001:298:3113:ffff:ffff:ffff:ffff:ffff,AU
2001:298:3114::,2001:298:3114:ffff:ffff:ffff:ffff:ffff,JP
2001:298:3115::,2001:298:3fff:ffff:ffff:ffff:ffff:ffff,AU
2001:298:4000::,2001:298:4000:ffff:ffff:ffff:ffff:ffff,JP
2001:298:4001::,2001:298:4008:ffff:ffff:ffff:ffff:ffff,AU
2001:298:4009::,2001:298:4009:ffff:ffff:ffff:ffff:ffff,JP
2001:298:400a::,2001:298:4011:ffff:ffff:ffff:ffff:ffff,AU
2001:298:4012::,2001:298:4013:ffff:ffff:ffff:ffff:ffff,JP
2001:298:4014::,2001:298:4045:ffff:ffff:ffff:ffff:ffff,AU
2001:298:4046::,2001:298:4046:ffff:ffff:ffff:ffff:ffff,JP
2001:298:4047::,2001:29f:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:2a0::,2001:2a0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2a1::,2001:2a7:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:2a8::,2001:2a8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2a9::,2001:2c0:801:e:ffff:ffff:ffff:ffff,AU
2001:2c0:801:f::,2001:2c0:801:11:ffff:ffff:ffff:ffff,JP
2001:2c0:801:12::,2001:2c0:801:1a:ffff:ffff:ffff:ffff,AU
2001:2c0:801:1b::,2001:2c0:801:1b:ffff:ffff:ffff:ffff,JP
2001:2c0:801:1c::,2001:2c0:80a:ff:ffff:ffff:ffff:ffff,AU
2001:2c0:80a:100::,2001:2c0:80a:1ff:ffff:ffff:ffff:ffff,JP
2001:2c0:80a:200::,2001:2c0:80a:2ff:ffff:ffff:ffff:ffff,AU
2001:2c0:80a:300::,2001:2c0:80a:3ff:ffff:ffff:ffff:ffff,JP
2001:2c0:80a:400::,2001:2c0:80d:ffff:ffff:ffff:ffff:ffff,AU
2001:2c0:80e::,2001:2c0:80e:ffff:ffff:ffff:ffff:ffff,JP
2001:2c0:80f::,2001:2c7:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:2c8::,2001:2c8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2c9::,2001:2f0:106:ffff:ffff:ffff:ffff:ffff,AU
2001:2f0:107::,2001:2f0:107:ffff:ffff:ffff:ffff:ffff,JP
2001:2f0:108::,2001:2f7:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:2f8::,2001:2f8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2f9::,2001:2ff:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:300::,2001:300:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:301::,2001:308:106:ffff:ffff:ffff:ffff:ffff,AU
2001:308:107::,2001:308:107:ffff:ffff:ffff:ffff:ffff,JP
2001:308:108::,2001:318:1101:ffff:ffff:ffff:ffff:ffff,AU
2001:318:1102::,2001:318:1102:ffff:ffff:ffff:ffff:ffff,JP
2001:318:1103::,2001:318:1204:ffff:ffff:ffff:ffff:ffff,AU
2001:318:1205::,2001:318:1205:ffff:ffff:ffff:ffff:ffff,JP
2001:318:1206::,2001:337:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:338::,2001:338:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:339::,2001:348:2011:ffff:ffff:ffff:ffff:ffff,AU
2001:348:2012::,2001:348:2014:ffff:ffff:ffff:ffff:ffff,JP
2001:348:2015::,2001:350:4:ffff:ffff:ffff:ffff:ffff,AU
2001:350:5::,2001:350:5:f:ffff:ffff:ffff:ffff,JP
2001:350:5:10::,2001:36f:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:370::,2001:370:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:371::,2001:39f:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:3a0::,2001:3a0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3a1::,2001:3a7:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:3a8::,2001:3a8:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:3a9::,2001:3c8:1302:ffff:ffff:ffff:ffff:ffff,AU
2001:3c8:1303::,2001:3c8:1303:ffff:ffff:ffff:ffff:ffff,TH
2001:3c8:1304::,2001:3c8:1407:ffff:ffff:ffff:ffff:ffff,AU
2001:3c8:1408::,2001:3c8:1408:ffff:ffff:ffff:ffff:ffff,TH
2001:3c8:1409::,2001:3ff:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:400::,2001:400:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:408::,2001:408:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:410::,2001:410:ffff:ffff:ffff:ffff:ffff:ffff,CA
2001:418::,2001:418:1401:4f:ffff:ffff:ffff:ffff,US
2001:418:1401:50::,2001:418:1401:50:ffff:ffff:ffff:ffff,CA
2001:418:1401:51::,2001:418:149a:ffff:ffff:ffff:ffff:ffff,US
2001:418:149b::,2001:418:149b:ffff:ffff:ffff:ffff:ffff,HK
2001:418:149c::,2001:418:149c:ffff:ffff:ffff:ffff:ffff,SG
2001:418:149d::,2001:418:ffff:ffff:ffff:ffff:ffff:ffff,US
2001:420::,2001:420:3fff:ffff:ffff:ffff:ffff:ffff,US
